sentence,verb,verbIndex,object,label
 He absorbed the knowledge or beliefs of his tribe .,absorb,1,knowledge,1
 He absorbed the costs for the accident .,absorb,1,cost,1
 The sales tax is absorbed into the state income tax .,absorb,4,tax,1
 The immigrants were quickly absorbed into society .,absorb,4,immigrant,1
 Her interest in butterflies absorbs her completely .,absorb,4,interest,1
 This boss abuses his workers .,abuse,2,workers,0
 Do n't abuse the system .,abuse,2,system,1
 The actress abused the policeman who gave her a parking ticket .,abuse,2,policeman,0
 Her husband often abuses alcohol .,abuse,3,alcohol,1
 This hotel can accommodate 250 guests .,accommodate,3,guest,0
 The scientists had to accommodate the new results with the existing theories .,accommodate,4,result,1
 The program committee acknowledged the submission of the authors of the paper .,acknowledge,3,submission,0
 He never acknowledges his colleagues when they run into him in the hallway .,acknowledge,2,colleague,0
 We must acknowledge the kindness she showed towards us .,acknowledge,2,kindness,0
 acknowledge the deed .,acknowledge,0,deed,0
 The Crown Prince was acknowledged as the true heir to the throne .,acknowledge,4,prince,0
 The residents of this village adhered to Catholicism .,adhere,5,resident,1
 Will this wallpaper adhere to the wall ?,adhere,3,wallpaper,0
 The steering of my new car answers to the slightest touch .,answer,6,steering,1
 answer the telephone .,answer,0,telephone,0
 The question concerning the meaning of life can not be answered .,answer,10,question,0
 The defendant answered to all the charges of the prosecution .,answer,2,defendant,0
 We ascended the mountain .,ascend,1,mountain,0
 Inheritance may not ascend linearly .,ascend,3,inheritance,1
 The path ascended to the top of the hill .,ascend,2,path,0
 Hitler attacked Poland on September 1 1939 and started World War II .,attack,1,poland,0
 The editors of the left - leaning paper attacked the new House Speaker .,attack,8,speaker,1
 The Serbs attacked the village at night .,attack,2,village,0
 I attacked the problem as soon as I got out of bed .,attack,1,problem,1
 The cancer cells are attacking his liver .,attack,4,cancer,1
 The Turks besieged Vienna .,besiege,2,vienna,0
 She was besieged by so many problems that she got discouraged .,besiege,2,problem,1
 The press photographers besieged the movie star .,besiege,3,press,1
 The Chinese would bind the feet of their women .,bind,3,foot,0
 They bind their books in leather .,bind,1,book,0
 The hydrogen binds the oxygen .,bind,2,oxygen,1
 Meteors blazed across the atmosphere .,blaze,1,meteor,1
 The summer sun alone can cause a pine to blaze .,blaze,9,pine,0
 The spaceship blazed out into space .,blaze,2,spaceship,1
 Her feet blistered during the long hike .,blister,2,foot,0
 The Senator blistered the administration in his speech on Friday .,blister,2,administration,1
 The haze blurs the hills .,blur,2,haze,0
 The fog blurs my vision .,blur,2,vision,0
 The distinction between the two theories blurred .,blur,6,distinction,1
 The listeners bolted when he discussed his strange ideas .,bolt,2,listener,1
 Do n't bolt your food !,bolt,2,food,1
